period_id,time_min,Threats,home_goal,away_goal
1,0,0.107,0,0
1,1,-0.364,0,0
1,2,0.263,0,0
1,3,0.329,0,0
1,4,-0.683,0,0
1,5,-0.456,0,0
1,6,0.045,0,0
1,7,-0.111,0,0
1,8,-0.006,0,0
1,9,-0.299,0,0
1,10,0.308,0,0
1,11,0.272,0,0
1,12,0.023,0,0
1,13,0.395,0,0
1,14,0.164,0,0
1,15,-0.301,0,0
1,16,0.129,0,0
1,17,-0.336,0,0
1,18,0.307,0,0
1,19,-0.017,0,0
1,20,-0.065,0,0
1,21,-0.238,0,0
1,22,0.428,0,0
1,23,-0.054,0,0
1,24,-0.15,0,0
1,25,-0.123,0,0
1,26,0.186,0,0
1,27,0.128,0,1
1,28,0.144,0,0
1,29,0.151,0,0
1,30,0.75,0,0
1,31,-0.142,0,0
1,32,-0.179,0,0
1,33,-0.285,0,0
1,34,0.216,0,0
1,35,0.395,0,0
1,36,-0.04,0,0
1,37,-0.294,0,0
1,38,-0.289,0,0
1,39,0.228,0,0
1,40,0.26,0,0
1,41,0.19,0,0
1,42,-0.233,0,0
1,43,0.081,0,0
1,44,0.041,0,0
1,45,0.077,0,0
1,46,0.305,0,0
2,45,0.078,0,0
2,46,0.238,0,0
2,47,0.024,0,0
2,48,0.101,0,0
2,49,0.221,0,0
2,50,-0.51,0,0
2,51,-0.112,0,0
2,52,-0.165,0,0
2,53,-0.224,0,0
2,54,-0.096,0,0
2,55,0.523,0,0
2,56,-0.303,0,0
2,57,0.339,0,0
2,58,-0.589,0,0
2,59,-0.117,0,0
2,60,0.057,0,0
2,61,0.205,0,0
2,62,0.249,0,0
2,63,0.278,0,0
2,64,-0.122,0,0
2,65,-0.162,0,0
2,66,0.3,0,0
2,67,-0.067,0,0
2,68,-0.446,0,0
2,69,-0.397,0,0
2,70,-0.322,0,0
2,71,0.174,0,0
2,72,0.05,1,0
2,73,0.242,0,0
2,74,-0.15,0,0
2,75,0.055,0,0
2,76,0.219,0,0
2,77,-0.108,0,0
2,78,0.16,0,0
2,79,-0.232,0,0
2,80,-0.127,0,0
2,81,-0.134,0,0
2,82,-0.419,0,0
2,83,0.17,0,0
2,84,-0.164,0,0
2,85,0.004,0,0
2,86,0.168,0,0
2,87,0.156,0,0
2,88,0.233,0,0
2,89,-0.034,0,0
2,90,-0.148,0,0
2,91,-0.028,0,0
2,92,-0.591,0,0
2,93,-0.506,0,0
2,94,-0.463,0,0
2,95,-0.349,0,0
